passage,criticalsign
5.68,diple
5.70,diple
5.79,diple
5.83,diple
5.85,diple
5.99,diple
5.105,diple
5.121,diple
5.122,asteriskos
5.128,dotteddiple
5.138,dotteddiple
5.140,diple
5.141,diple
5.145,diple
5.146,dotteddiple
5.147,diple
5.148,diple
5.149,diple
5.150,diple
5.153,diple
5.156,dotteddiple
5.162,dotteddiple
5.169,diple
5.173,diple
5.177,diple
5.183,obelos
5.187,dotteddiple
5.188,diple
5.189,diple
5.191,diple
5.194,dotteddiple
5.195,diple
5.197,diple
5.200,diple
5.208,diple
5.210,diple
5.211,diple
5.212,diple
5.222,diple
5.223,diple
5.224,diple
5.228,diple
5.230,diple
5.233,diple
5.238,diple
5.245,diple
5.249,diple
5.252,diple
5.253,diple
5.255,diple
5.257,diple
5.261,diple
5.262,diple
5.263,diple
5.266,diple
5.269,diple
5.272,diple
5.278,diple
5.289,diple
5.298,diple
5.299,diple
5.300,diple
5.309,diple
5.310,asteriskos
5.319,diple
5.323,dotteddiple
5.329,dotteddiple
5.333,diple
5.638,diple
5.648,diple
5.657,diple
5.661,diple
5.662,diple
5.667,diple
5.670,diple
5.684,diple
5.700,diple
5.705,diple
5.706,diple
5.708,dotteddiple
5.729,diple
5.734,asteriskos
5.735,asteriskos
5.736,asteriskos
5.736,diple
5.736,diple
5.744,diple
5.746,asteriskos
5.747,asteriskos
5.749,diple
5.754,diple
5.763,diple
5.764,diple
5.774,diple
5.785,diple
5.795,diple
5.796,diple
5.800,diple
5.807,dotteddiple
5.812,diple
5.814,diple
5.832,diple
5.834,diple
5.836,diple
5.838,obelos
5.839,obelos
5.842,diple
5.857,diple
5.864,diple
5.875,diple
5.878,diple
5.891,asteriskos
5.892,diple
5.893,diple
5.895,obelos
5.898,dotteddiple
5.899,diple
5.905,diple
5.906,asteriskos
5.906,diple
6.2,diple
6.3,diple
6.4,diple
6.9,diple
6.15,diple
6.17,diple
6.18,diple
6.19,diple
6.24,diple
6.25,diple
6.34,dotteddiple
6.38,diple
6.40,diple
6.41,diple
6.43,diple
6.50,diple
6.64,diple
6.71,diple
6.77,diple
6.87,diple
6.92,diple
6.96,diple
6.97,diple
6.112,dotteddiple
6.117,diple
6.119,diple
6.128,diple
6.130,diple
6.132,diple
6.135,diple
6.146,diple
6.150,diple
6.152,diple
6.153,diple
6.154,diple
6.160,diple
6.169,diple
6.170,diple
6.174,diple
6.176,diple
6.178,diple
6.181,diple
6.183,diple
6.189,diple
6.191,diple
6.194,diple
6.198,diple
6.199,diple
6.201,diple
6.210,diple
6.218,diple
6.237,diple
6.239,diple
6.241,diple
6.248,diple
6.252,diple
6.257,diple
6.260,diple
6.262,diple
6.264,diple
6.265,diple
6.266,dotteddiple
6.273,diple
6.277,diple
6.278,diple
6.285,diple
6.289,diple
6.291,diple
6.292,diple
6.303,diple
6.311,obelos
6.317,diple
6.319,diple
6.325,diple
6.326,diple
6.331,diple
6.335,diple
6.337,diple
6.360,diple
6.370,diple
6.396,diple
6.398,diple
6.400,diple
6.403,diple
6.408,diple
6.415,diple
6.417,diple
6.433,obelos
6.434,obelos
6.435,obelos
6.436,obelos
6.437,obelos
6.438,obelos
6.439,obelos
6.448,diple
6.457,diple
6.459,diple
6.464,diple
6.472,diple
6.490,asteriskos
6.491,asteriskos
6.492,asteriskos
6.493,asteriskos
6.506,diple
6.506,asteriskos
6.507,diple
6.507,asteriskos
6.508,asteriskos
6.509,asteriskos
6.510,diple
6.511,dotteddiple
6.512,diple
6.514,diple
6.518,diple
7.5,diple
7.6,diple
7.8,diple
7.9,dotteddiple
7.10,diple
7.12,diple
7.16,diple
7.20,diple
7.22,diple
7.32,dotteddiple
7.39,diple
7.41,diple
7.44,diple
7.46,diple
7.53,obelos
7.64,diple
7.75,diple
7.79,diple
7.80,diple
7.82,diple
7.86,diple
7.89,diple
7.102,diple
7.111,diple
7.114,dotteddiple
7.116,diple
7.127,dotteddiple
7.133,diple
7.135,diple
7.136,diple
7.138,diple
7.146,diple
7.148,diple
7.149,diple
7.153,dotteddiple
7.156,diple
7.161,diple
7.171,diple
7.175,diple
7.180,diple
7.182,diple
7.187,diple
7.195,obelos
7.196,obelos
7.197,obelos
7.198,obelos
7.199,obelos
7.202,diple
7.221,diple
7.239,diple
7.250,dotteddiple
7.255,diple
7.273,diple
7.276,diple
7.282,asteriskos
7.293,obelos
7.293,asteriskos
7.295,obelos
7.303,diple
7.305,diple
7.306,diple
7.312,diple
7.314,diple
7.319,diple
7.328,diple
7.330,diple
7.333,diple
7.334,obelos
7.335,obelos
7.339,diple
7.345,diple
7.353,obelos
7.390,diple
7.392,diple
7.393,diple
7.398,asteriskos
7.399,asteriskos
7.407,diple
7.413,diple
7.429,diple
7.433,diple
7.436,diple
7.443,obelos
7.444,obelos
