urn	text	signs
urn:cts:greekLit:tlg5026.msA.hmt:1.425	1.143	
urn:cts:greekLit:tlg5026.msA.hmt:1.426	1.147	
urn:cts:greekLit:tlg5026.msA.hmt:1.426	1.147	
urn:cts:greekLit:tlg5026.msA.hmt:1.427	1.148	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.427	1.148	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.428	1.149	
urn:cts:greekLit:tlg5026.msA.hmt:1.428	1.149	
urn:cts:greekLit:tlg5026.msA.hmt:1.477	1.151	
urn:cts:greekLit:tlg5026.msA.hmt:1.477	1.151	
urn:cts:greekLit:tlg5026.msA.hmt:1.478	1.153	
urn:cts:greekLit:tlg5026.msA.hmt:1.478	1.153	
urn:cts:greekLit:tlg5026.msA.hmt:1.479	1.154	
urn:cts:greekLit:tlg5026.msA.hmt:1.479	1.154	
urn:cts:greekLit:tlg5026.msA.hmt:1.480	1.159	
urn:cts:greekLit:tlg5026.msA.hmt:1.480	1.159	
urn:cts:greekLit:tlg5026.msA.hmt:1.481	1.160	
urn:cts:greekLit:tlg5026.msA.hmt:1.481	1.160	
urn:cts:greekLit:tlg5026.msA.hmt:1.482	1.160	
urn:cts:greekLit:tlg5026.msA.hmt:1.482	1.160	
urn:cts:greekLit:tlg5026.msA.hmt:1.483	1.164	
urn:cts:greekLit:tlg5026.msA.hmt:1.483	1.164	
urn:cts:greekLit:tlg5026.msA.hmt:1.484	1.157	
urn:cts:greekLit:tlg5026.msA.hmt:1.484	1.157	
urn:cts:greekLit:tlg5026.msA.hmt:1.485	1.168	
urn:cts:greekLit:tlg5026.msA.hmt:1.485	1.168	
urn:cts:greekLit:tlg5026.msA.hmt:1.486	1.168	
urn:cts:greekLit:tlg5026.msA.hmt:1.487	1.169-1.171	
urn:cts:greekLit:tlg5026.msA.hmt:1.487	1.169-1.171	
urn:cts:greekLit:tlg5026.msA.hmt:1.488	1.171	
urn:cts:greekLit:tlg5026.msA.hmt:1.488	1.171	
urn:cts:greekLit:tlg5026.msA.hmt:1.489	1.173	
urn:cts:greekLit:tlg5026.msA.hmt:1.489	1.173	
urn:cts:greekLit:tlg5026.msA.hmt:1.490	1.173	
urn:cts:greekLit:tlg5026.msA.hmt:1.490	1.173	
urn:cts:greekLit:tlg5026.msA.hmt:1.491	1.173	
urn:cts:greekLit:tlg5026.msA.hmt:1.492	1.173	
urn:cts:greekLit:tlg5026.msA.hmt:1.492	1.173	
urn:cts:greekLit:tlg5026.msA.hmt:1.493	1.173	
urn:cts:greekLit:tlg5026.msA.hmt:1.493	1.173	
urn:cts:greekLit:tlg5026.msA.hmt:1.494	1.174	
urn:cts:greekLit:tlg5026.msA.hmt:1.494	1.174	
urn:cts:greekLit:tlg5026.msA.hmt:1.495	1.175	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.495	1.175	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.496	1.175	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.550	1.176	
urn:cts:greekLit:tlg5026.msA.hmt:1.550	1.176	
urn:cts:greekLit:tlg5026.msA.hmt:1.551	1.178-1.180	
urn:cts:greekLit:tlg5026.msA.hmt:1.551	1.178-1.180	
urn:cts:greekLit:tlg5026.msA.hmt:1.552	1.180	
urn:cts:greekLit:tlg5026.msA.hmt:1.552	1.180	
urn:cts:greekLit:tlg5026.msA.hmt:1.553	1.181-1.182	
urn:cts:greekLit:tlg5026.msA.hmt:1.553	1.181-1.182	
urn:cts:greekLit:tlg5026.msA.hmt:1.554	1.185-1.187	
urn:cts:greekLit:tlg5026.msA.hmt:1.554	1.185-1.187	
urn:cts:greekLit:tlg5026.msA.hmt:1.555	1.189	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.555	1.189	diple
